sample,current_A,voltage_min_V,voltage_mean_V,voltage_max_V,voltage_spread_mV,temperature_min_C,temperature_mean_C,temperature_max_C,consistency_proxy_percent,soc_mean_percent,soc_min_percent,soc_max_percent
56,117.0,3.255,3.2577500749999997,3.259,4.0000000000000036,30.0,30.625,31.0,99.276665,9.660192765295506,8.880716562271118,10.309867560863495
57,99.19995,3.255,3.2585000749999997,3.2600002,5.00020000000001,30.0,30.625,31.0,99.26999766666667,9.660192765295506,8.880716562271118,10.309867560863495
58,100.6001,3.2580001,3.2616251125,3.2630002,5.000100000000174,30.0,30.5,31.0,99.266665,9.660192765295506,8.880716562271118,10.309867560863495
59,103.90015,3.2580001,3.2615000875,3.2630002,5.000100000000174,30.0,30.5,31.0,99.26666533333334,9.660192765295506,8.880716562271118,10.309867560863495
60,109.1001,3.2580001,3.2616251125,3.2630002,5.000100000000174,30.0,30.5,31.0,99.259998,9.660192765295506,8.880716562271118,10.309867560863495
61,117.19995,3.255,3.2586250999999997,3.2600002,5.00020000000001,30.0,30.5,31.0,99.256664,9.660192765295506,8.880716562271118,10.309867560863495
62,113.69995,3.256,3.2593751375,3.2610002,5.00020000000001,30.0,30.5,31.0,99.25333133333334,9.660192765295506,8.880716562271118,10.309867560863495
63,103.40015,3.2570002,3.2606251000000004,3.262,4.999800000000221,30.0,30.5,31.0,99.25333133333334,9.660192765295506,8.880716562271118,10.309867560863495
64,105.1001,3.255,3.2583750499999997,3.2600002,5.00020000000001,30.0,30.5,31.0,99.24999733333334,9.660192765295506,8.880716562271118,10.309867560863495
65,114.90015,3.2540002,3.257875075,3.259,4.999799999999777,30.0,30.5,31.0,99.25333133333334,9.660192765295506,8.880716562271118,10.309867560863495
66,109.80005,3.2580001,3.2608751125,3.262,3.999900000000167,30.0,30.5,31.0,99.25666533333333,9.660192765295506,8.880716562271118,10.309867560863495
67,109.40015,3.255,3.2591251124999996,3.2610002,6.0001999999999,30.0,30.5,31.0,99.25666500000001,9.660192765295506,8.880716562271118,10.309867560863495
68,109.69995,3.255,3.2590001374999997,3.2600002,5.00020000000001,30.0,30.5,31.0,99.25666600000001,9.660192765295506,8.880716562271118,10.309867560863495
69,127.6001,3.2510002,3.2543750624999994,3.256,4.999799999999777,30.0,30.5,31.0,99.25333333333334,9.660192765295506,8.880716562271118,10.309867560863495
70,107.19995,3.2540002,3.2580000625,3.259,4.999799999999777,30.0,30.5,31.0,99.25000033333335,9.660192765295506,8.880716562271118,10.309867560863495
71,107.19995,3.256,3.25987515,3.2610002,5.00020000000001,30.0,30.5,31.0,99.25000033333335,9.660192765295506,8.880716562271118,10.309867560863495
72,112.40015,3.2570002,3.2602501999999998,3.2610002,4.0000000000000036,30.0,30.5,31.0,99.24333433333335,9.660192765295506,8.880716562271118,10.309867560863495
73,112.0,3.2530003,3.2561251625,3.2570002,3.999899999999723,30.0,30.5,31.0,99.24333433333335,9.660192765295506,8.880716562271118,10.309867560863495
74,103.19995,3.252,3.255500075,3.2570002,5.00020000000001,30.0,30.5,31.0,99.24000133333334,9.660192765295506,8.880716562271118,10.309867560863495
75,101.30005,3.2570002,3.261000075,3.262,4.999800000000221,30.0,30.5,31.0,99.243336,9.660192765295506,8.880716562271118,10.309867560863495
76,97.0,3.2510002,3.255375125,3.2570002,5.999999999999783,30.0,30.5,31.0,99.243336,9.660192765295506,8.880716562271118,10.309867560863495
77,109.30005,3.252,3.2561251125,3.2580001,6.000100000000064,30.0,30.5,31.0,99.24333466666667,9.660192765295506,8.880716562271118,10.309867560863495
78,114.1001,3.2510002,3.2547500499999997,3.256,4.999799999999777,30.0,30.5,31.0,99.24333466666667,9.660192765295506,8.880716562271118,10.309867560863495
79,94.30005,3.2570002,3.2617501250000003,3.2640002,7.000000000000117,30.0,30.5,31.0,99.24333466666667,9.660192765295506,8.880716562271118,10.309867560863495
80,88.0,3.2600002,3.2640000750000002,3.265,4.999800000000221,30.0,30.5,31.0,99.240002,9.660192765295506,8.880716562271118,10.309867560863495
81,116.80005,3.2530003,3.2563751375,3.2580001,4.999799999999777,30.0,30.5,31.0,99.24000099999999,9.660192765295506,8.880716562271118,10.309867560863495
82,124.6001,3.2500002,3.2540000874999997,3.255,4.999799999999777,30.0,30.5,31.0,99.24000233333332,9.660192765295506,8.880716562271118,10.309867560863495
83,111.5,3.252,3.25525005,3.2570002,5.00020000000001,30.0,30.5,31.0,99.24333533333333,9.660192765295506,8.880716562271118,10.309867560863495
84,132.6001,3.249,3.252500225,3.2540002,5.00020000000001,30.0,30.5,31.0,99.24333533333333,9.660192765295506,8.880716562271118,10.309867560863495
85,117.69995,3.2470002,3.2507500999999994,3.252,4.999799999999777,30.0,30.5,31.0,99.24666833333335,9.660192765295506,8.880716562271118,10.309867560863495
86,124.80005,3.249,3.2530001625,3.2540002,5.00020000000001,30.0,30.5,31.0,99.24666833333335,9.660192765295506,8.880716562271118,10.309867560863495
87,119.90015,3.2510002,3.2545000875,3.256,4.999799999999777,30.0,30.5,31.0,99.25666833333334,9.660192765295506,8.880716562271118,10.309867560863495
88,131.6001,3.246,3.2491251374999996,3.2500002,4.00020000000012,30.0,30.5,31.0,99.26333433333333,9.660192765295506,8.880716562271118,10.309867560863495
89,124.6001,3.2470002,3.25025015,3.252,4.999799999999777,30.0,30.5,31.0,99.26666766666668,9.660192765295506,8.880716562271118,10.309867560863495
90,136.19995,3.2440002,3.2471251124999996,3.2480001,3.999900000000167,30.0,30.5,31.0,99.26666633333335,9.660192765295506,8.880716562271118,10.309867560863495
91,129.30005,3.2440002,3.2477500874999996,3.2500002,6.000000000000227,30.0,30.5,31.0,99.27000066666666,9.660192765295506,8.880716562271118,10.309867560863495
92,103.1001,3.249,3.2526252125,3.2540002,5.00020000000001,30.0,30.5,31.0,99.273335,9.660192765295506,8.880716562271118,10.309867560863495
93,116.6001,3.2500002,3.2532501624999997,3.255,4.999799999999777,30.0,30.5,31.0,99.27666766666667,9.660192765295506,8.880716562271118,10.309867560863495
94,110.40015,3.2500002,3.2531251875,3.2540002,4.0000000000000036,30.0,30.5,31.0,99.280001,9.660192765295506,8.880716562271118,10.309867560863495
95,124.6001,3.2470002,3.2492501624999997,3.2500002,3.0000000000001137,30.0,30.5,31.0,99.283334,9.660192765295506,8.880716562271118,10.309867560863495
96,112.69995,3.2510002,3.253625175,3.255,3.999799999999887,30.0,30.5,31.0,99.28333466666666,9.660192765295506,8.880716562271118,10.309867560863495
97,118.5,3.246,3.2493751625,3.2510002,5.00020000000001,30.0,30.5,31.0,99.28666766666667,9.660192765295506,8.880716562271118,10.309867560863495
98,119.90015,3.2450001,3.2476250624999996,3.249,3.999900000000167,30.0,30.5,31.0,99.28666766666667,9.660192765295506,8.880716562271118,10.309867560863495
99,134.1001,3.2440002,3.2468750999999996,3.2480001,3.999900000000167,30.0,30.5,31.0,99.29333466666667,9.660192765295506,8.880716562271118,10.309867560863495
